StartingYear,StartingSemester,FldCode,EduSecCode,TahsilHoze,Feqh,age,nationality,locality,LocationCityId,MaritalStatus,NumChildren,MilitaryStatus,Gallantry,PhysicalStatus,LesTotalUnit,IsPassedUnit,termCount,VocationCount,Avg1,Avg2,Avg3,Avg4,Avg5,Avg6,Avg7,Avg8,Avg9,Avg10,Avg11,Avg12,SelectedUnit1,SelectedUnit2,SelectedUnit3,SelectedUnit4,SelectedUnit5,SelectedUnit6,SelectedUnit7,SelectedUnit8,SelectedUnit9,SelectedUnit10,SelectedUnit11,SelectedUnit12,PassedUnit1,PassedUnit2,PassedUnit3,PassedUnit4,PassedUnit5,PassedUnit6,PassedUnit7,PassedUnit8,PassedUnit9,PassedUnit10,PassedUnit11,PassedUnit12,AbsentNo1,AbsentNo2,AbsentNo3,AbsentNo4,AbsentNo5,AbsentNo6,AbsentNo7,AbsentNo8,AbsentNo9,AbsentNo10,AbsentNo11,AbsentNo12,AbsentNoAll,AdmCode,SentArticle,SentArticleAccept,StudyHours1,StudyHours2,StudyHours3,StudyHours4,StudyHours5,StudyHours6,StudyHours7,StudyHours8,StudyHours9,StudyHours10,StudyHours11,StudyHours12,StudyHoursSum,TotalAve
1390,1,28,2,3,0,25,8,2,20,2,0,1,0,1,158,158,12,2,0.00,0.00,17.75,15.75,16.87,16.38,15.89,17.25,0.00,15.36,15.27,0.00,0,0,16,16,15,16,19,22,0,22,13,0,0,0,16,16,15,16,19,22,0,22,13,0,0,0,20,11,16,15,29,18,0,12,19,0,139,1,3,0,0,0,243,345,285,325,490,100,0,0,0,0,1788,B
1394,1,28,2,1,1,24,8,2,26,2,2,1,0,1,143,143,8,0,18.82,18.83,18.03,19.03,18.92,18.78,19.12,18.91,0.00,0.00,0.00,0.00,17,18,17,18,20,18,17,16,0,0,0,0,17,18,17,18,20,18,17,16,0,0,0,0,10,6,11,13,12,9,8,13,0,0,0,0,82,1,0,0,250,231,315,267,200,190,193,250,0,0,0,0,1896,A
1389,1,31,2,5,0,19,8,1,26,2,0,4,0,1,149,149,12,0,16.63,18.07,15.82,17.71,16.00,17.59,18.75,18.00,0.00,14.00,0.00,0.00,15,17,17,17,18,16,20,20,0,2,0,0,15,17,17,17,18,16,20,20,0,2,0,0,5,14,18,13,20,22,23,11,0,0,0,0,124,1,1,0,100,90,100,50,100,50,60,50,0,0,0,0,600,B
1389,1,30,2,5,1,23,8,1,26,2,0,3,0,1,141,141,10,0,18.57,19.88,19.17,17.82,18.53,18.83,19.35,18.84,18.75,0.00,0.00,0.00,14,12,18,11,15,15,20,16,14,0,0,0,14,12,18,11,15,15,20,16,14,0,0,0,8,2,2,5,7,3,8,9,8,0,0,0,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
1389,1,35,2,5,0,22,8,1,26,2,0,3,0,1,150,150,12,0,16.18,14.67,17.50,16.70,17.81,17.18,13.65,17.53,18.14,16.00,15.33,0.00,11,9,12,15,18,19,10,15,22,4,6,0,11,9,12,15,18,19,10,15,22,4,6,0,18,11,8,14,1,5,10,6,4,0,0,0,75,1,0,0,279,158,171,211,80,165,125,96,129,0,0,0,1414,B
1389,1,25,2,1,0,25,8,2,26,2,1,1,0,1,156,156,12,0,19.08,17.12,16.50,18.25,18.59,17.96,14.91,12.73,14.25,13.25,15.17,0.00,20,20,16,12,17,13,11,11,12,5,15,0,20,20,16,12,17,13,11,11,12,5,15,0,10,13,15,13,5,11,6,6,9,4,10,0,100,1,0,0,450,360,500,500,493,500,365,360,400,0,0,0,3928,B
1389,1,26,2,5,0,31,8,1,26,2,0,1,0,1,150,150,10,0,18.40,17.63,18.20,17.59,18.83,18.00,16.56,17.09,18.21,0.00,0.00,0.00,15,15,15,17,18,16,18,16,14,0,0,0,15,15,15,17,18,16,18,16,14,0,0,0,15,18,18,30,11,16,21,20,10,0,0,0,157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
1389,1,26,2,3,1,25,8,1,26,2,0,1,0,1,154,150,8,0,17.27,18.87,17.61,19.16,18.17,18.12,17.21,17.75,0.00,0.00,0.00,0.00,19,20,18,19,18,24,14,20,0,0,0,0,19,20,14,19,18,24,14,20,0,0,0,0,15,17,15,15,5,15,10,12,0,0,0,0,104,1,0,0,25,67,114,46,85,86,64,0,0,0,0,0,487,A
1389,1,26,2,5,1,21,8,1,26,2,0,3,0,1,152,150,8,0,18.85,16.25,17.96,17.92,18.86,19.10,18.21,18.54,0.00,0.00,0.00,0.00,13,15,13,12,21,24,24,24,0,0,0,0,13,13,13,12,21,24,24,24,0,0,0,0,13,23,18,15,13,15,12,21,0,0,0,0,130,1,1,0,0,30,0,50,38,0,26,78,0,0,0,0,222,A
1389,1,26,2,3,1,25,8,2,26,2,0,3,0,1,150,150,8,0,16.67,16.83,17.09,16.38,18.29,17.05,17.44,17.20,0.00,0.00,0.00,0.00,15,15,17,17,20,20,24,20,0,0,0,0,15,15,17,17,20,20,24,20,0,0,0,0,13,16,12,12,7,11,18,12,0,0,0,0,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
